,streamflow
1/1/1981,2070
1/2/1981,2020
1/3/1981,2020
1/4/1981,2030
1/5/1981,2020
1/6/1981,2020
1/7/1981,2010
1/8/1981,2050
1/9/1981,2020
1/10/1981,1730
1/11/1981,1550
1/12/1981,1550
1/13/1981,1560
1/14/1981,1540
1/15/1981,1540
1/16/1981,1530
1/17/1981,1530
1/18/1981,1530
1/19/1981,1540
1/20/1981,1530
1/21/1981,1520
1/22/1981,1540
1/23/1981,1550
1/24/1981,1560
1/25/1981,1550
1/26/1981,1550
1/27/1981,1560
1/28/1981,1520
1/29/1981,1510
1/30/1981,1490
1/31/1981,1490
2/1/1981,1490
2/2/1981,1500
2/3/1981,1500
2/4/1981,1510
2/5/1981,1530
2/6/1981,1550
2/7/1981,1540
2/8/1981,1520
2/9/1981,1530
2/10/1981,1530
2/11/1981,1460
2/12/1981,1540
2/13/1981,1520
2/14/1981,1500
2/15/1981,1500
2/16/1981,1500
2/17/1981,1470
2/18/1981,1520
2/19/1981,1560
2/20/1981,1540
2/21/1981,1510
2/22/1981,1530
2/23/1981,1550
2/24/1981,1550
2/25/1981,1550
2/26/1981,1560
2/27/1981,1560
2/28/1981,1560
3/1/1981,1550
3/2/1981,1550
3/3/1981,1540
3/4/1981,1550
3/5/1981,1550
3/6/1981,1540
3/7/1981,1540
3/8/1981,1530
3/9/1981,1530
3/10/1981,1540
3/11/1981,1530
3/12/1981,1540
3/13/1981,1540
3/14/1981,1540
3/15/1981,1540
3/16/1981,1540
3/17/1981,1540
3/18/1981,1550
3/19/1981,1550
3/20/1981,1540
3/21/1981,1530
3/22/1981,1520
3/23/1981,1520
3/24/1981,1530
3/25/1981,1540
3/26/1981,1540
3/27/1981,1530
3/28/1981,1530
3/29/1981,1510
3/30/1981,1520
3/31/1981,1520
4/1/1981,1520
4/2/1981,1520
4/3/1981,1520
4/4/1981,1510
4/5/1981,1510
4/6/1981,1510
4/7/1981,1530
4/8/1981,1550
4/9/1981,1550
4/10/1981,1550
4/11/1981,1550
4/12/1981,1560
4/13/1981,1570
4/14/1981,1570
4/15/1981,1580
4/16/1981,1570
4/17/1981,1570
4/18/1981,1570
4/19/1981,1570
4/20/1981,1580
4/21/1981,1540
4/22/1981,1540
4/23/1981,1540
4/24/1981,1550
4/25/1981,1550
4/26/1981,1540
4/27/1981,1550
4/28/1981,1540
4/29/1981,1550
4/30/1981,1540
5/1/1981,1530
5/2/1981,1530
5/3/1981,1530
5/4/1981,1510
5/5/1981,1540
5/6/1981,3980
5/7/1981,4430
5/8/1981,4410
5/9/1981,4390
5/10/1981,4390
5/11/1981,4400
5/12/1981,4400
5/13/1981,4410
5/14/1981,4410
5/15/1981,4420
5/16/1981,4400
5/17/1981,4410
5/18/1981,4360
5/19/1981,3160
5/20/1981,2950
5/21/1981,1900
5/22/1981,1570
5/23/1981,1540
5/24/1981,1530
5/25/1981,1540
5/26/1981,1550
5/27/1981,1540
5/28/1981,1530
5/29/1981,1520
5/30/1981,1510
5/31/1981,1510
6/1/1981,1510
6/2/1981,1530
6/3/1981,1990
6/4/1981,2010
6/5/1981,2020
6/6/1981,2090
6/7/1981,3050
6/8/1981,4910
6/9/1981,5040
6/10/1981,3640
6/11/1981,3510
6/12/1981,2970
6/13/1981,2940
6/14/1981,2960
6/15/1981,3010
6/16/1981,3010
6/17/1981,3020
6/18/1981,3030
6/19/1981,3080
6/20/1981,3460
6/21/1981,3450
6/22/1981,3720
6/23/1981,4030
6/24/1981,4020
6/25/1981,4020
6/26/1981,4010
6/27/1981,4000
6/28/1981,3950
6/29/1981,3520
6/30/1981,3540
7/1/1981,3530
7/2/1981,3480
7/3/1981,3000
7/4/1981,2480
7/5/1981,2400
7/6/1981,1930
7/7/1981,1540
7/8/1981,1510
7/9/1981,1510
7/10/1981,1510
7/11/1981,1510
7/12/1981,1500
7/13/1981,1500
7/14/1981,1500
7/15/1981,1500
7/16/1981,1510
7/17/1981,1510
7/18/1981,1500
7/19/1981,1510
7/20/1981,1500
7/21/1981,1500
7/22/1981,1500
7/23/1981,1500
7/24/1981,1530
7/25/1981,1530
7/26/1981,1520
7/27/1981,1520
7/28/1981,1520
7/29/1981,1520
7/30/1981,1520
7/31/1981,1520
8/1/1981,1520
8/2/1981,1530
8/3/1981,1510
8/4/1981,1490
8/5/1981,1500
8/6/1981,1490
8/7/1981,1500
8/8/1981,1510
8/9/1981,1500
8/10/1981,1500
8/11/1981,1490
8/12/1981,1510
8/13/1981,1540
8/14/1981,1540
8/15/1981,1540
8/16/1981,1540
8/17/1981,1540
8/18/1981,1540
8/19/1981,1540
8/20/1981,1470
8/21/1981,1010
8/22/1981,1000
8/23/1981,1000
8/24/1981,1000
8/25/1981,1000
8/26/1981,1000
8/27/1981,1010
8/28/1981,1010
8/29/1981,1010
8/30/1981,1010
8/31/1981,1010
9/1/1981,1000
